caminho,extensao,tamanho_bytes,etapa,descricao,sha256_16
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/dendrogramme_2.png,png,14146,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",676c735205a6cfd3
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/info.txt,txt,532,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",4d9b3a46e815f8e9
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/listeUCE1.csv,csv,7733,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",3fc403795e9dd6d9
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/liste_graph_afc.txt,txt,485,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",9386dc98aa10c072
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/liste_graph_chd.txt,txt,426,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",4d851e4cb9debd94
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/n1-1.csv,csv,24967,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",7b3881deaf63ef11
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/n1.csv,csv,7848,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",9a9128b82dc3850f
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/profiles.csv,csv,54236,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",a951497931415b23
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/ptable.csv,csv,30157,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",5f4a83a0654680de
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/tableet.csv,csv,7781,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",0105dd6d3708a7be
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/tablesup.csv,csv,3209,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",30e98b04f08578d3
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/uce.csv,csv,7848,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",9a9128b82dc3850f
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_spec_1/Analyse.ira,ira,514,analise textual - especificidades,Análise de especificidades e AFC por modalidade de variável,cd5e809fe462e093
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_spec_1/liste_graph_afcf.txt,txt,44,analise textual - especificidades,Análise de especificidades e AFC por modalidade de variável,67f2095694f730ce
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_spec_1/liste_graph_afct.txt,txt,44,analise textual - especificidades,Análise de especificidades e AFC por modalidade de variável,0ca5c1cf77ab8487
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_spec_1/statbyet.csv,csv,18252,analise textual - especificidades,Análise de especificidades e AFC por modalidade de variável,018c7a495b4760e2
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_spec_1/tableafcm.csv,csv,402312,analise textual - especificidades,Análise de especificidades e AFC por modalidade de variável,f882729752fb73b6
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_spec_1/tabletypem.csv,csv,145,analise textual - especificidades,Análise de especificidades e AFC por modalidade de variável,de3e37cf52414fa2
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/Analyse.ira,ira,454,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",353bc2eb1e86a463
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/formes_actives.csv,csv,55521,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",3110e29fe65341bd
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/formes_supplémentaires.csv,csv,6211,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",03fdb14dfc598666
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/glob.txt,txt,201,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",70a7b613c1afbea5
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/hapax.csv,csv,29991,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",4212936eaffdecd6
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/segments_size.png,png,2751,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",7479ce9d003ffa7c
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/stsize.csv,csv,3527,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",f5847ea44874156c
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/total.csv,csv,31741,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",10fd0eeb78459e15
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_stat_1/zipf.png,png,2751,analise textual - estatisticas,"Estatísticas lexicais do corpus: formas ativas, hapax, curva de Zipf, tamanho dos segmentos",83c4b143924ce05e
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_1/Analyse.ira,ira,778,analise textual - nuvem,Nuvem de palavras do corpus (primeira configuração),8e8cb57d01766bb4
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_1/actives_eff.csv,csv,13719,analise textual - nuvem,Nuvem de palavras do corpus (primeira configuração),ee39f0165b7b2eb9
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_1/nuage_1.png,png,64398,analise textual - nuvem,Nuvem de palavras do corpus (primeira configuração),c1e0cf915e7a71e8
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_1/selected.csv,csv,5902,analise textual - nuvem,Nuvem de palavras do corpus (primeira configuração),280071fd929eb89e
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_2/Analyse.ira,ira,778,analise textual - nuvem,Nuvem de palavras do corpus (segunda configuração),14fb99f0c5949706
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_2/actives_eff.csv,csv,13719,analise textual - nuvem,Nuvem de palavras do corpus (segunda configuração),ee39f0165b7b2eb9
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_2/nuage_1.png,png,39311,analise textual - nuvem,Nuvem de palavras do corpus (segunda configuração),268ffc9a91f78805
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_wordcloud_2/selected.csv,csv,1585,analise textual - nuvem,Nuvem de palavras do corpus (segunda configuração),91f9d55161105db8
iramuteq/corpus_iramuteq_corrigido_corpus_2/formes.db,db,385024,analise textual - projeto,Arquivo de projeto/banco do corpus no IRaMuTeQ,ecdb13560d704d6b
iramuteq/corpus_iramuteq_corrigido_corpus_2/uces.db,db,225280,analise textual - projeto,Arquivo de projeto/banco do corpus no IRaMuTeQ,732e3ca97be8ebe8
scripts/analise_biblio.R,r,9832,5-analise,"Análises bibliométricas: descritivas, citações, redes de palavras-chave, mapas temáticos, three fields plot",bc8f56ac5e308aa7
scripts/biblio_organizado.R,r,10100,1-coleta e integracao,"Importa WoS e Scopus, une bases, remove duplicatas, filtra artigos fora do escopo e aplica correção de autores",6c4edf21133dfbae
scripts/exploratorios/abstract_iramuteq.R,r,2559,0-exploratorio,Versão anterior da preparação do corpus para o IRaMuTeQ,c96295b47b08c5cc
scripts/exploratorios/base.R,r,1212,0-exploratorio,Comandos básicos do pacote bibliometrix (estudo do pacote),46dff81310be7a40
scripts/exploratorios/bibliometria_muitobom.R,r,4197,0-exploratorio,Versão anterior do pipeline de importação e análise,a3d19c741230e3c7
scripts/exploratorios/ciento.R,r,1513,0-exploratorio,Teste de co-citação e identificação de artigos citantes das referências mais citadas,80b0f08ff7d7fb7e
scripts/normalizar_arigos_resumos.R,r,1426,3-resumos,Detecta idioma dos resumos (cld3) e exporta os não ingleses para revisão/tradução manual,9b02b7031f3d3bd0
scripts/normalizar_citacoes.R,r,3499,2-normalizacao,Normaliza variantes de referências citadas no campo CR por expressões regulares,f472f96a22776cb5
scripts/resumos_para_iramuteq.R,r,1561,4-corpus,Reincorpora resumos traduzidos e gera o corpus formatado para o IRaMuTeQ,0258943e3c096141
