network	9
indigenous	4
distribution	6
ceará	4
similarity	3
declare	4
peripheral	4
income	21
neighborhood	4
precarious	4
informal	10
proposal	9
postcolonial	3
proposition	4
modernity	8
general	9
internal	3
dispute	6
scientific	19
intersect	6
coloniality	7
healthcare	3
care	17
total	7
background	5
online	3
analyse	15
continuity	7
attribute	5
function	4
link	13
daily	9
confront	3
reason	7
conceptualize	4
science	30
tradition	8
lead	8
development	11
analytical	7
argument	9
defend	4
reference	11
human	11
agency	7
jazz	5
afro	16
mobilize	11
relevant	7
formulation	3
pay	5
flow	3
peer	3
problematize	3
definition	5
ovule	3
reproductive	6
technology	4
possibility	9
assume	6
kinship	5
matrix	4
case	22
cuban	4
exchange	4
characterize	3
open	9
anthropology	6
approximately	3
19th	8
contemporary	12
provide	7
eugenic	4
1920s	10
inspire	3
image	15
brazilians	9
extreme	3
expression	6
center	12
biological	4
modern	8
belief	5
sector	6
importance	16
occupation	8
labour	7
market	12
formal	4
capitalist	4
sociological	10
speak	4
great	18
moral	5
past	12
insertion	4
difficulty	3
constitution	7
reproduction	9
sociability	6
content	8
large	5
sphere	4
hide	4
deepen	3
sexual	8
periodical	4
complexity	3
express	7
address	16
psychosocial	7
haitian	3
migratory	6
southern	5
ethnicity	10
live	19
porto	7
alegre	6
grande	7
sul	6
thematic	4
america	3
respective	5
reduce	7
level	20
imply	3
position	12
sexuality	11
bolsonaro	4
marielle	6
queer	6
equality	8
positive	6
map	9
presence	7
continue	4
epistemological	6
subjectivity	5
historian	3
eduardo	3
oliveira	4
1990s	5
path	4
historiography	4
speech	11
historiographical	4
researcher	6
emancipation	3
elaboration	4
explain	9
mechanism	6
characteristic	11
illustrate	4
agenda	6
investigation	9
test	3
onwards	5
properly	3
construct	13
expose	4
professor	3
region	14
itinerary	3
basic	4
guideline	3
federal	20
mato	4
grosso	3
specific	14
program	7
key	6
systemic	3
structural	12
myth	3
democracy	6
whiteness	6
additionally	3
insight	3
equity	8
medium	9
configuration	4
compose	3
universidade	5
reinforce	6
participation	10
favor	5
vaccination	3
são	26
fully	6
emerge	6
perception	13
finding	4
framework	12
press	15
twentieth	4
attempt	3
raça	4
goal	5
literary	10
predominantly	3
water	4
small	6
domestic	4
ethnographic	7
vulnerability	8
subordination	4
resident	4
periphery	3
employ	8
descriptive	7
contextual	5
scope	6
standard	3
statistical	7
assess	7
change	13
limit	6
detail	3
interpret	4
reduction	5
intervention	5
ground	3
disability	19
purpose	9
demographic	10
census	12
ibge	3
close	4
previous	4
decade	8
variable	14
residential	3
pattern	10
articulation	8
vary	4
regional	5
local	10
salvador	4
evident	6
prevalence	4
expansion	5
film	6
scientist	3
comment	4
meaning	13
predominance	3
criticism	6
conservative	3
stereotype	3
relevance	7
diverse	3
mental	10
found	4
series	4
campaign	6
regulation	5
personal	4
intertwine	3
suffer	7
oppress	5
psychological	4
world	16
ethnography	5
immigrant	7
migration	3
influence	14
exist	5
contrast	5
visa	4
elaborate	4
serve	3
combat	4
slave	10
abolition	9
scholar	3
writing	3
josé	3
descendant	8
hold	7
introduction	3
aid	21
epidemic	3
recent	7
increase	15
hiv	15
adolescent	12
epidemiological	4
profile	20
sectional	4
average	8
8perc	6
colour	6
6perc	3
metropolitan	7
capital	4
2perc	3
0perc	4
boy	7
occur	9
homosexual	4
heterosexual	3
percentage	7
death	4
publish	13
composition	8
trend	7
growth	3
continuous	3
nation	9
define	5
benefit	4
information	15
user	7
recognize	4
item	4
poverty	8
girl	8
menstrual	6
treatment	7
product	4
circulate	3
war	4
unite	8
international	10
participant	8
post	14
variation	5
attitude	4
critically	4
activist	4
collective	4
explicit	4
militant	3
fear	5
major	3
affirmative	12
stress	6
disseminate	3
publication	5
court	3
nineteenth	3
kind	3
crt	6
consist	3
review	15
adopt	6
database	9
centre	4
improvement	3
journal	9
library	3
selection	5
commitment	3
ii	3
physical	16
legislative	3
japanese	3
immigration	4
nationality	5
moment	5
perceive	5
failure	3
contemplate	3
criticize	3
incompleteness	3
maternal	6
skin	21
birth	5
sinasc	3
unit	3
regression	8
annual	3
apc	5
1perc	3
southeast	3
district	8
estimate	6
percent	3
rural	15
dance	7
engage	5
partner	3
application	3
criminal	9
discriminatory	4
decolonial	12
elt	3
racialisation	4
dominant	3
constitute	8
english	6
native	6
speaker	3
undergraduate	4
graduate	3
cross	6
activism	3
scene	3
scenario	3
poem	4
meditação	3
generation	6
concern	3
build	11
response	3
quantitative	4
complex	5
inferiority	4
european	4
18th	4
french	6
dedicate	3
anthropological	7
deconstruct	3
coverage	6
month	3
cohort	9
administer	3
valid	4
timely	3
dose	4
calculate	3
ratio	5
select	4
95percci	13
exclude	3
pr	6
archeology	4
cinematographic	3
cinema	5
discursive	3
guide	5
classify	6
naturalize	3
efficacy	4
recently	3
physic	3
evaluation	3
railroad	4
company	4
mobility	5
railway	3
indirect	4
criterion	4
occupy	3
double	3
recognition	7
emotional	5
enhance	3
outcome	3
tax	10
icms	3
ipva	3
ownership	5
index	4
degree	5
regressivity	5
relative	4
vulnerable	3
choice	3
consideration	5
creative	4
license	3
original	5
religion	7
initiation	3
justice	4
add	3
emancipatory	3
municipality	7
enem	3
segment	4
al	4
majority	5
equitable	4
quality	3
proportion	5
drama	3
textbook	5
gather	3
phase	4
exemplo	3
fight	4
educate	5
emphasis	3
community	10
dropout	7
judicial	3
indicator	3
locate	3
active	4
visual	4
leave	3
orientation	6
logic	3
europe	3
santa	3
maria	7
freedom	3
enter	4
universe	3
prepare	4
thought	3
conceição	3
evaristo	4
interaction	4
circulation	3
refer	5
fictional	3
spiritualist	3
risk	11
generate	4
socio	9
agent	4
wage	10
hear	3
occupational	5
audiovisual	4
en	4
recidivism	5
sample	6
logistic	4
chance	9
persistent	3
effective	3
carioca	3
beauty	3
shape	4
popular	7
stratum	3
appearance	4
potential	3
character	8
day	4
textual	4
labor	17
colonization	4
everyday	4
note	3
connect	4
demand	7
connection	3
medicine	4
determine	6
plan	4
cure	3
treat	3
tb	4
disease	9
sinan	3
96perc	3
odd	3
stand	3
determinant	7
fatores	3
associados	3
cura	6
se	7
ic95perc	7
em	3
entre	3
serviços	3
saúde	4
los	4
factores	3
asociados	3
el	3
la	3
cedaw	3
western	4
normative	3
match	3
game	4
design	3
representative	4
comparison	5
significantly	3
hegemonic	3
maintain	4
economy	3
desire	5
tie	6
sauna	3
specificity	4
assumption	5
tete	4
province	3
correlate	3
traditional	3
middle	6
bahia	5
free	4
extent	4
modernization	4
feminine	6
regard	4
pnad	3
remain	9
range	4
perform	5
nacional	3
operate	3
exam	3
epidemiology	4
opportunity	3
prenatal	3
consultation	3
pregnant	3
baby	4
inform	3
superior	4
implementation	6
put	3
pccs	4
quota	5
aluísio	3
mestizo	3
survival	7
hr	4
fashion	5
oppression	3
observation	3
infer	3
unequal	4
boxer	3
monument	3
femininity	4
stage	3
hetero	4
classification	18
upper	3
stratification	4
property	6
stable	3
aspiration	3
ancestry	5
inclusion	4
complete	3
occasion	3
respondent	3
miss	3
mulata	4
indexicality	3
household	6
adherence	3
food	5
freyre	3
victimization	4
obesity	5
trait	3
require	4
guidance	3
sickle	6
cell	6
consistent	3
monitor	3
statement	4
anemia	4
retention	5
poor	3
slum	3
condom	7
recife	3
std	5
denomination	3
